iter	Passed	Remaining
0	5	5993
1	10	5108
2	14	4718
3	18	4605
4	22	4532
5	26	4419
6	30	4328
7	34	4324
8	38	4270
9	42	4227
10	47	4232
11	51	4213
12	55	4208
13	59	4223
14	64	4256
15	69	4277
16	73	4259
17	77	4242
18	81	4219
19	85	4213
20	89	4167
21	92	4120
22	96	4094
23	100	4096
24	104	4081
25	108	4066
26	112	4053
27	116	4039
28	120	4018
29	123	3995
30	127	3973
31	131	3976
32	135	3981
33	139	3972
34	143	3969
35	148	3975
36	153	3998
37	158	4014
38	163	4040
39	168	4041
40	172	4034
41	176	4033
42	181	4031
43	184	4018
44	188	4007
45	193	4012
46	198	4015
47	202	4013
48	206	4005
49	211	4009
50	215	4013
51	219	4004
52	223	3992
53	227	3983
54	231	3971
55	234	3958
56	238	3944
57	242	3942
58	247	3943
59	251	3947
60	256	3951
61	261	3949
62	264	3935
63	268	3927
64	272	3925
65	277	3924
66	281	3923
67	286	3920
68	290	3914
69	294	3912
70	298	3907
71	303	3905
72	307	3910
73	312	3913
74	317	3913
75	322	3926
76	327	3927
77	331	3919
78	335	3911
79	339	3902
80	343	3893
81	346	3882
82	350	3872
83	354	3868
84	358	3859
85	362	3851
86	366	3841
87	370	3835
88	374	3829
89	377	3821
90	382	3820
91	387	3824
92	391	3822
93	396	3822
94	401	3823
95	406	3829
96	411	3826
97	415	3820
98	419	3821
99	424	3816
100	428	3811
101	432	3808
102	437	3807
103	441	3806
104	446	3809
105	451	3810
106	455	3802
107	459	3792
108	462	3783
109	467	3778
110	470	3771
111	474	3763
112	478	3755
113	482	3751
114	486	3743
115	490	3735
116	493	3727
117	497	3722
118	502	3716
119	505	3710
120	510	3707
121	515	3709
122	519	3706
123	523	3700
124	528	3696
125	532	3693
126	536	3688
127	540	3683
128	545	3683
129	549	3677
130	553	3669
131	556	3661
132	560	3656
133	565	3656
134	570	3654
135	574	3652
136	579	3651
137	583	3647
138	587	3641
139	591	3636
140	596	3636
141	602	3637
142	606	3632
143	610	3628
144	614	3620
145	617	3612
